,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2112,2020,9,Neo Química Arena,0,49205,Corinthians,0,Palmeiras,2,Leandro Pedro Vuaden,5,6,13,16,1,2
2113,2020,11,Neo Química Arena,0,49205,Corinthians,3,EC Bahia,2,Wagner do Nascimento Magalhães,4,11,15,13,1,5
2114,2020,14,Neo Química Arena,0,49205,Corinthians,1,Santos FC,1,Marcelo de Lima Henrique,6,3,19,16,0,0
2115,2020,17,Neo Química Arena,0,49205,Corinthians,1,Flamengo,5,Leandro Pedro Vuaden,10,3,14,13,1,2
2116,2020,26,Neo Química Arena,0,49205,Corinthians,2,Goiás EC,1,Bruno Arleu de Araújo,12,4,11,15,5,2
2117,2020,34,Neo Química Arena,0,49205,Corinthians,2,Ceará SC,1,Héber Lopes,8,3,18,14,2,2
2118,2020,3,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,0,Flamengo,1,Rodrigo D,4,5,25,16,2,1
2119,2020,8,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,0,Atlético-MG,1,Diego Pombo Lopez,4,4,14,19,0,2
2120,2020,21,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,1,EC Bahia,2,Igor Junior Benevenuto,7,5,12,12,1,1
2121,2020,23,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,0,Corinthians,1,Leandro Pedro Vuaden,4,3,13,25,1,2
2122,2020,33,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,1,Grêmio,1,Vinicius Gonçalves Dias Araujo,2,3,26,12,0,2
2123,2020,2,Arena da Baixada,0,42372,Athletico-PR,2,Goiás EC,1,Diego Pombo Lopez,0,0,0,0,0,0
2124,2020,5,Arena da Baixada,0,42372,Athletico-PR,0,Fluminense,1,Daniel Nobre Bins,7,2,21,12,1,2
2125,2020,7,Arena da Baixada,0,42372,Athletico-PR,1,RB Bragantino,1,Wagner do Nascimento Magalhães,2,8,15,12,1,0
2126,2020,20,Arena da Baixada,0,42372,Athletico-PR,2,Fortaleza,1,Ramon Abatti,10,3,20,14,3,4
2127,2020,25,Arena da Baixada,0,42372,Athletico-PR,0,Atlético-MG,1,Vinicius Gonçalves Dias Araujo,5,3,20,13,4,4
2128,2020,32,Arena da Baixada,0,42372,Athletico-PR,2,Flamengo,1,Leandro Pedro Vuaden,3,3,20,11,4,1
2129,2020,8,Estádio Antonio Accioly,0,13000,Atlético-GO,1,Grêmio,1,Ricardo Marques Ribeiro,3,3,16,13,0,1
2130,2020,12,Estádio Antonio Accioly,0,13000,Atlético-GO,1,Botafogo,1,Leandro Pedro Vuaden,7,5,16,12,2,0
2131,2020,15,Estádio Antonio Accioly,0,13000,Atlético-GO,2,RB Bragantino,1,Héber Lopes,7,11,17,18,0,2
2132,2020,18,Estádio Antonio Accioly,0,13000,Atlético-GO,0,Palmeiras,3,Savio Pereira Sampaio,6,3,15,17,0,2
2133,2020,24,Estádio Antonio Accioly,0,13000,Atlético-GO,0,Goiás EC,1,Marcelo de Lima Henrique,15,1,17,21,4,2
2134,2020,33,Estádio Antonio Accioly,0,13000,Atlético-GO,2,São Paulo,1,Braulio da Silva Machado,8,5,13,9,1,1
2135,2020,13,Estádio Raimundo Sampaio,0,23018,Atlético-MG,4,Vasco da Gama,1,Leandro Pedro Vuaden,,,,,,
2136,2020,16,Estádio Governador Magalhães Pinto,0,57000,Atlético-MG,1,Fluminense,1,Raphael Claus,9,4,11,9,0,3
2137,2020,24,Estádio Governador Magalhães Pinto,0,57000,Atlético-MG,2,Internacional,2,Bruno Arleu de Araújo,3,4,18,14,4,5
2138,2020,1,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,3,Ceará SC,2,Edina Alves Batista,0,1,1,3,1,0
2139,2020,5,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,0,São Paulo,1,Rodrigo D,,,,,,
2140,2020,21,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,0,Vasco da Gama,2,Héber Lopes,4,2,14,21,2,1
2141,2020,29,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,0,Palmeiras,1,Dyorgines Jose Padovani,7,6,15,21,2,2
2142,2020,37,Estádio Adelmar da Costa Carvalho,0,35000,Sport Recife,2,Atlético-MG,3,Rodolpho Toski Marques,2,4,16,13,0,0
2143,2020,8,Estádio Beira-Rio,0,56000,Internacional,2,EC Bahia,2,Braulio da Silva Machado,7,5,11,11,0,1
2144,2020,12,Estádio Beira-Rio,0,56000,Internacional,1,São Paulo,1,Marcelo de Lima Henrique,1,4,16,16,3,0
2145,2020,15,Estádio Beira-Rio,0,56000,Internacional,2,Athletico-PR,1,Bruno Arleu de Araújo,6,1,19,14,3,2
2146,2020,18,Estádio Beira-Rio,0,56000,Internacional,2,Flamengo,2,Wilton Sampaio,1,7,16,15,1,1
