,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2262,2023,16,Estádio Nabi Abi Chedid,6446.0,13212.0,Maguielson Lima Barbosa,RB Bragantino,0.0,Internacional,0.0,13.0,4.0,15.0,14.0,0.0,3.0
2263,2023,21,Estádio Nabi Abi Chedid,3683.0,13212.0,Bruno Mota Correia,RB Bragantino,2.0,Cuiabá-MT,0.0,11.0,4.0,21.0,14.0,1.0,0.0
2264,2023,23,Estádio Nabi Abi Chedid,5088.0,13212.0,André Luiz Skettino Policarpo Bento,RB Bragantino,2.0,Grêmio,0.0,5.0,1.0,21.0,16.0,3.0,1.0
2265,2023,33,Estádio Beira-Rio,18669.0,50848.0,Rodrigo Jose Pereira de Lima,Internacional,0.0,Fluminense,0.0,5.0,3.0,13.0,16.0,4.0,0.0
2266,2023,35,Estádio Beira-Rio,22170.0,50848.0,Felipe Fernandes,Internacional,1.0,RB Bragantino,0.0,4.0,7.0,18.0,13.0,0.0,4.0
2267,2023,28,Estádio Nabi Abi Chedid,6813.0,15010.0,Wilton Sampaio,RB Bragantino,1.0,Fluminense,0.0,7.0,3.0,17.0,13.0,0.0,3.0
2268,2023,32,Estádio Nabi Abi Chedid,10797.0,15010.0,Raphael Claus,RB Bragantino,1.0,Corinthians,0.0,10.0,6.0,14.0,12.0,0.0,0.0
2269,2023,37,Estádio Nabi Abi Chedid,3442.0,15010.0,Dyorgines Jose Padovani,RB Bragantino,1.0,Coritiba,0.0,12.0,6.0,16.0,10.0,1.0,1.0
2270,2023,5,Estádio Governador Plácido Castelo,37775.0,60326.0,Paulo Cesar Zanovelli,Fortaleza,0.0,São Paulo,0.0,4.0,10.0,9.0,17.0,3.0,2.0
2271,2023,8,Estádio Governador Plácido Castelo,37625.0,60326.0,Edina Alves Batista,Fortaleza,2.0,Vasco da Gama,0.0,9.0,5.0,11.0,15.0,3.0,3.0
2272,2023,9,Estádio Governador Plácido Castelo,38338.0,60326.0,João Vitor Gobi,Fortaleza,0.0,Bahia,0.0,8.0,4.0,17.0,9.0,3.0,3.0
2273,2023,14,Estádio Governador Plácido Castelo,36399.0,60326.0,André Luiz Skettino Policarpo Bento,Fortaleza,1.0,Atlético-PR,0.0,7.0,2.0,9.0,18.0,7.0,0.0
2274,2023,19,Estádio Governador Plácido Castelo,32301.0,60326.0,Bruno Mota Correia,Fortaleza,4.0,Santos,0.0,10.0,6.0,19.0,20.0,1.0,3.0
2275,2023,37,Estádio Governador Plácido Castelo,50317.0,60326.0,Anderson Daronco,Fortaleza,1.0,Goiás,0.0,4.0,2.0,19.0,14.0,2.0,0.0
2276,2023,9,Estádio Raimundo Sampaio,6701.0,25000.0,Anderson Daronco,América-MG,2.0,Corinthians,0.0,2.0,3.0,16.0,14.0,1.0,0.0
2277,2023,22,Estádio Raimundo Sampaio,3654.0,25000.0,Leandro Pedro Vuaden,América-MG,2.0,Santos,0.0,3.0,5.0,14.0,16.0,4.0,2.0
2278,2023,21,Arena MRV,29782.0,46000.0,Rafael Rodrigo Klein,Atlético-MG,2.0,Santos,0.0,5.0,2.0,22.0,12.0,2.0,1.0
2279,2023,23,Arena MRV,31729.0,46000.0,Ramon Abatti,Atlético-MG,1.0,Botafogo,0.0,5.0,3.0,15.0,12.0,4.0,1.0
2280,2023,24,Arena MRV,36104.0,46000.0,Rodrigo Jose Pereira de Lima,Atlético-MG,1.0,Cuiabá-MT,0.0,6.0,3.0,15.0,14.0,3.0,1.0
2281,2023,30,Arena MRV,23003.0,46000.0,Raphael Claus,Atlético-MG,2.0,Fluminense,0.0,9.0,4.0,15.0,11.0,2.0,2.0
2282,2023,35,Arena MRV,39337.0,46000.0,Braulio da Silva Machado,Atlético-MG,3.0,Grêmio,0.0,7.0,7.0,10.0,12.0,1.0,0.0
2283,2023,15,Estádio Serra Dourada,12303.0,14525.0,Raphael Claus,Goiás,0.0,Atlético-MG,0.0,6.0,4.0,16.0,14.0,0.0,0.0
2284,2023,18,Estádio Serra Dourada,8384.0,14525.0,Leandro Pedro Vuaden,Goiás,1.0,Fortaleza,0.0,5.0,2.0,15.0,10.0,2.0,0.0
2285,2023,22,Estádio Serra Dourada,11038.0,14525.0,Braulio da Silva Machado,Goiás,0.0,Internacional,0.0,5.0,5.0,16.0,13.0,3.0,2.0
2286,2023,24,Estádio Serra Dourada,13799.0,14525.0,Raphael Claus,Goiás,0.0,Flamengo,0.0,3.0,2.0,15.0,14.0,3.0,1.0
2287,2023,38,Estádio Serra Dourada,1966.0,14525.0,Davi de Oliveira Lacerda,Goiás,1.0,América-MG,0.0,8.0,7.0,12.0,13.0,3.0,2.0
2288,2023,3,Estádio Beira-Rio,29193.0,56000.0,Rodrigo Jose Pereira de Lima,Internacional,1.0,Goiás,0.0,8.0,11.0,16.0,10.0,1.0,4.0
2289,2023,8,Estádio Beira-Rio,19037.0,56000.0,Wagner do Nascimento Magalhães,Internacional,2.0,Bahia,0.0,2.0,7.0,10.0,13.0,3.0,0.0
2290,2023,13,Estádio Beira-Rio,23923.0,56000.0,Wagner do Nascimento Magalhães,Internacional,0.0,Cruzeiro,0.0,2.0,4.0,12.0,14.0,1.0,1.0
2291,2023,19,Allianz Parque,38555.0,43713.0,Wagner do Nascimento Magalhães,Palmeiras,1.0,Cruzeiro,0.0,3.0,5.0,13.0,26.0,1.0,1.0
2292,2023,21,Allianz Parque,40292.0,43713.0,Wilton Sampaio,Palmeiras,1.0,Vasco da Gama,0.0,9.0,2.0,20.0,14.0,2.0,1.0
2293,2023,23,Allianz Parque,38146.0,43713.0,Savio Pereira Sampaio,Palmeiras,1.0,Goiás,0.0,6.0,3.0,12.0,19.0,2.0,5.0
2294,2023,29,Allianz Parque,32618.0,43713.0,Raphael Claus,Palmeiras,5.0,São Paulo,0.0,5.0,0.0,15.0,16.0,3.0,2.0
2295,2023,30,Allianz Parque,33747.0,43713.0,Rodrigo Jose Pereira de Lima,Palmeiras,1.0,Bahia,0.0,6.0,1.0,15.0,17.0,5.0,0.0
2296,2023,36,Allianz Parque,29717.0,43713.0,Wilton Sampaio,Palmeiras,4.0,América-MG,0.0,10.0,2.0,10.0,15.0,2.0,2.0
2297,2023,32,Arena Barueri,17301.0,32713.0,Wilton Sampaio,Palmeiras,1.0,Atlético-PR,0.0,2.0,2.0,17.0,17.0,2.0,1.0
2298,2023,13,Arena Pantanal,13477.0,42968.0,Bruno Mota Correia,Cuiabá-MT,3.0,Santos,0.0,9.0,5.0,7.0,16.0,1.0,1.0
2299,2023,18,Arena Pantanal,33091.0,42968.0,Anderson Daronco,Cuiabá-MT,3.0,Flamengo,0.0,10.0,6.0,9.0,9.0,1.0,0.0
2300,2023,25,Arena Pantanal,8358.0,42968.0,Paulo Cesar Zanovelli,Cuiabá-MT,3.0,Fluminense,0.0,7.0,0.0,18.0,12.0,2.0,3.0
2301,2023,26,Arena Pantanal,12100.0,42968.0,Rodrigo Jose Pereira de Lima,Cuiabá-MT,0.0,Cruzeiro,0.0,5.0,5.0,9.0,20.0,3.0,1.0
2302,2023,38,Arena Pantanal,9689.0,42968.0,Paulo Belence Alves dos Prazeres Filho,Cuiabá-MT,3.0,Atlético-PR,0.0,5.0,9.0,9.0,15.0,3.0,2.0
2303,2023,12,Estádio Governador Magalhães Pinto,17478.0,61927.0,Ramon Abatti,Cruzeiro,1.0,São Paulo,0.0,6.0,5.0,14.0,15.0,1.0,8.0
2304,2023,15,Estádio Governador Magalhães Pinto,22123.0,61927.0,Leandro Pedro Vuaden,Cruzeiro,0.0,Coritiba,0.0,11.0,8.0,14.0,11.0,1.0,5.0
2305,2023,18,Estádio Governador Magalhães Pinto,44759.0,61927.0,Raphael Claus,Cruzeiro,0.0,Botafogo,0.0,8.0,1.0,17.0,7.0,1.0,1.0
2306,2023,22,Estádio Governador Magalhães Pinto,29417.0,61927.0,Wagner do Nascimento Magalhães,Cruzeiro,0.0,RB Bragantino,0.0,8.0,5.0,16.0,15.0,4.0,3.0
2307,2023,29,Estádio Governador Magalhães Pinto,36104.0,61927.0,Flavio Rodrigues de Souza,Cruzeiro,3.0,Bahia,0.0,1.0,2.0,11.0,10.0,1.0,1.0
2308,2023,1,Estádio Alfredo Jaconi ,13997.0,23540.0,Wilton Sampaio,Grêmio,1.0,Santos,0.0,4.0,11.0,12.0,16.0,1.0,1.0
2309,2023,34,Arena Barueri,19358.0,32500.0,Paulo Cesar Zanovelli,Palmeiras,3.0,Internacional,0.0,6.0,3.0,13.0,13.0,3.0,1.0
2310,2023,1,Estádio Jornalista Mário Filho,42848.0,78838.0,Rodrigo Jose Pereira de Lima,Flamengo,3.0,Coritiba,0.0,6.0,3.0,20.0,17.0,1.0,2.0
2311,2023,5,Estádio Jornalista Mário Filho,44948.0,78838.0,Savio Pereira Sampaio,Flamengo,2.0,Goiás,0.0,8.0,7.0,21.0,9.0,1.0,1.0
2312,2023,7,Estádio Jornalista Mário Filho,64871.0,78838.0,Rafael Rodrigo Klein,Flamengo,1.0,Corinthians,0.0,6.0,9.0,9.0,12.0,0.0,2.0
2313,2023,10,Estádio Jornalista Mário Filho,62967.0,78838.0,Savio Pereira Sampaio,Flamengo,3.0,Grêmio,0.0,3.0,7.0,20.0,17.0,1.0,1.0
2314,2023,13,Estádio Jornalista Mário Filho,64853.0,78838.0,Savio Pereira Sampaio,Flamengo,2.0,Fortaleza,0.0,5.0,4.0,13.0,14.0,1.0,2.0
2315,2023,21,Estádio Jornalista Mário Filho,58892.0,78838.0,Edina Alves Batista,Flamengo,0.0,Internacional,0.0,6.0,3.0,14.0,20.0,1.0,3.0
2316,2023,25,Estádio Jornalista Mário Filho,46472.0,78838.0,Savio Pereira Sampaio,Flamengo,1.0,Bahia,0.0,12.0,2.0,11.0,13.0,1.0,3.0
2317,2023,28,Estádio Jornalista Mário Filho,69473.0,78838.0,Raphael Claus,Flamengo,1.0,Vasco da Gama,0.0,7.0,8.0,10.0,15.0,1.0,1.0
2318,2023,30,Estádio Jornalista Mário Filho,57699.0,78838.0,Braulio da Silva Machado,Flamengo,1.0,RB Bragantino,0.0,8.0,6.0,10.0,15.0,2.0,2.0
2319,2023,33,Estádio Jornalista Mário Filho,64590.0,78838.0,Rodrigo Jose Pereira de Lima,Flamengo,3.0,Palmeiras,0.0,4.0,5.0,13.0,17.0,0.0,3.0
2320,2023,20,Estádio Jornalista Mário Filho,53540.0,78584.0,Braulio da Silva Machado,Vasco da Gama,1.0,Atlético-MG,0.0,3.0,7.0,20.0,14.0,1.0,0.0
2321,2023,1,Allianz Parque,35835.0,43600.0,Paulo Cesar Zanovelli,Palmeiras,2.0,Cuiabá-MT,1.0,4.0,4.0,23.0,12.0,3.0,2.0
2322,2023,16,Arena Pantanal,34072.0,42968.0,Bruno Mota Correia,Cuiabá-MT,2.0,São Paulo,1.0,2.0,4.0,9.0,17.0,2.0,0.0
2323,2023,18,Arena Fonte Nova,34313.0,55000.0,Matheus Delgado Candançan,Bahia,3.0,América-MG,1.0,7.0,2.0,20.0,19.0,2.0,3.0
2324,2023,21,Estádio Governador Plácido Castelo,12467.0,60326.0,Matheus Delgado Candançan,Fortaleza,3.0,Coritiba,1.0,2.0,3.0,22.0,22.0,1.0,0.0
2325,2023,23,Estádio Governador Plácido Castelo,32690.0,60326.0,Rodrigo Jose Pereira de Lima,Fortaleza,2.0,Corinthians,1.0,6.0,3.0,14.0,17.0,0.0,1.0
2326,2023,4,Arena Fonte Nova,37936.0,47364.0,Bruno Mota Correia,Bahia,3.0,Coritiba,1.0,3.0,5.0,28.0,24.0,1.0,2.0
2327,2023,7,Arena Fonte Nova,32519.0,47364.0,Denis Ribeiro Serafim,Bahia,1.0,Goiás,1.0,4.0,6.0,19.0,13.0,1.0,6.0
2328,2023,22,Arena Fonte Nova,46705.0,47364.0,Ramon Abatti,Bahia,1.0,Vasco da Gama,1.0,6.0,0.0,22.0,17.0,2.0,2.0
2329,2023,34,Arena Fonte Nova,33978.0,47364.0,Rafael Rodrigo Klein,Bahia,1.0,Atlético-PR,1.0,11.0,5.0,8.0,14.0,0.0,0.0
2330,2023,36,Arena Fonte Nova,46288.0,47364.0,Braulio da Silva Machado,Bahia,0.0,São Paulo,1.0,3.0,5.0,15.0,11.0,0.0,3.0
2331,2023,38,Arena Fonte Nova,28019.0,47364.0,Ramon Abatti,Bahia,4.0,Atlético-MG,1.0,3.0,5.0,16.0,10.0,2.0,3.0
2332,2023,3,Estádio São Januário,19223.0,24584.0,Flavio Rodrigues de Souza,Vasco da Gama,0.0,Bahia,1.0,7.0,6.0,19.0,19.0,5.0,0.0
2333,2023,6,Estádio São Januário,19108.0,24584.0,Rodrigo Jose Pereira de Lima,Vasco da Gama,0.0,Santos,1.0,14.0,1.0,14.0,12.0,0.0,3.0
2334,2023,11,Estádio São Januário,17647.0,24584.0,Jean Pierre Goncalves Lima,Vasco da Gama,0.0,Goiás,1.0,8.0,2.0,20.0,24.0,4.0,3.0
2335,2023,14,Estádio São Januário,0.0,24584.0,Savio Pereira Sampaio,Vasco da Gama,0.0,Cruzeiro,1.0,4.0,6.0,7.0,18.0,3.0,1.0
2336,2023,24,Estádio São Januário,20321.0,24584.0,Flavio Rodrigues de Souza,Vasco da Gama,5.0,Coritiba,1.0,6.0,0.0,10.0,15.0,1.0,2.0
2337,2023,34,Estádio São Januário,19478.0,24584.0,Savio Pereira Sampaio,Vasco da Gama,2.0,América-MG,1.0,7.0,8.0,13.0,12.0,0.0,0.0
2338,2023,38,Estádio São Januário,20037.0,24584.0,Wilton Sampaio,Vasco da Gama,2.0,RB Bragantino,1.0,2.0,3.0,8.0,14.0,0.0,1.0
2339,2023,32,Estádio Municipal Parque do Sabiá,5706.0,53000.0,Rodrigo Jose Pereira de Lima,América-MG,1.0,Atlético-MG,1.0,0.0,4.0,11.0,20.0,0.0,2.0
2340,2023,1,Neo Química Arena ,41304.0,49205.0,Anderson Daronco,Corinthians,2.0,Cruzeiro,1.0,7.0,4.0,14.0,12.0,4.0,3.0
2341,2023,4,Neo Química Arena ,36512.0,49205.0,Ramon Abatti,Corinthians,1.0,Fortaleza,1.0,5.0,5.0,6.0,9.0,3.0,2.0
2342,2023,6,Neo Química Arena ,41434.0,49205.0,Bruno Arleu de Araújo,Corinthians,1.0,São Paulo,1.0,5.0,4.0,16.0,18.0,0.0,2.0
2343,2023,10,Neo Química Arena ,40512.0,49205.0,André Luiz Skettino Policarpo Bento,Corinthians,1.0,Cuiabá-MT,1.0,8.0,6.0,11.0,13.0,1.0,1.0
2344,2023,13,Neo Química Arena ,42404.0,49205.0,Edina Alves Batista,Corinthians,0.0,RB Bragantino,1.0,4.0,2.0,15.0,17.0,5.0,1.0
2345,2023,17,Neo Química Arena ,0.0,49205.0,Leandro Pedro Vuaden,Corinthians,3.0,Vasco da Gama,1.0,0.0,6.0,12.0,11.0,0.0,0.0
2346,2023,19,Neo Química Arena ,42171.0,49205.0,Ramon Abatti,Corinthians,3.0,Coritiba,1.0,4.0,2.0,17.0,13.0,2.0,0.0
2347,2023,21,Neo Química Arena ,37316.0,49205.0,Paulo Cesar Zanovelli,Corinthians,1.0,Goiás,1.0,7.0,6.0,16.0,15.0,0.0,0.0
2348,2023,26,Neo Química Arena ,40800.0,49205.0,Anderson Daronco,Corinthians,1.0,Flamengo,1.0,2.0,8.0,5.0,13.0,2.0,0.0
2349,2023,28,Neo Química Arena ,38121.0,49205.0,Yuri Elino Ferreira da Cruz,Corinthians,1.0,América-MG,1.0,4.0,4.0,15.0,13.0,1.0,0.0
2350,2023,30,Neo Química Arena ,42248.0,49205.0,Anderson Daronco,Corinthians,1.0,Santos,1.0,10.0,3.0,22.0,14.0,3.0,1.0
2351,2023,33,Neo Química Arena ,30348.0,49205.0,Braulio da Silva Machado,Corinthians,1.0,Atlético-MG,1.0,5.0,6.0,8.0,19.0,3.0,0.0
