,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
932,2020,7,Estádio Raimundo Sampaio,0,23018,Jean Pierre Goncalves Lima,Atlético-MG,3,São Paulo,0,5,3,18,11,3,1
933,2020,10,Estádio Raimundo Sampaio,0,23018,Ramon Abatti,Atlético-MG,2,RB Bragantino,1,8,3,13,18,5,0
934,2020,12,Estádio Raimundo Sampaio,0,23018,Caio Max Augusto Vieira,Atlético-MG,3,Grêmio,1,9,4,20,11,0,0
935,2020,15,Estádio Governador Magalhães Pinto,0,57018,Vinicius Gonçalves Dias Araujo,Atlético-MG,3,Goiás EC,0,8,1,14,11,4,1
936,2020,18,Estádio Governador Magalhães Pinto,0,57000,Paulo Roberto Alves Júnior,Atlético-MG,0,Sport Recife,0,13,4,10,11,2,1
937,2020,20,Estádio Governador Magalhães Pinto,0,57000,Savio Pereira Sampaio,Atlético-MG,4,Flamengo,0,2,7,21,13,1,1
938,2020,23,Estádio Governador Magalhães Pinto,0,57000,Savio Pereira Sampaio,Atlético-MG,2,Botafogo,1,10,2,25,19,2,4
939,2020,27,Estádio Governador Magalhães Pinto,0,57000,Dyorgines Jose Padovani,Atlético-MG,2,Coritiba FC,0,13,3,15,13,0,2
940,2020,28,Estádio Governador Magalhães Pinto,0,57000,Paulo Roberto Alves Júnior,Atlético-MG,2,Santos FC,0,4,2,10,14,1,0
941,2020,30,Estádio Governador Magalhães Pinto,0,57000,Braulio da Silva Machado,Atlético-MG,3,Atlético-GO,1,10,9,13,14,0,2
942,2020,33,Estádio Governador Magalhães Pinto,0,57000,Leandro Pedro Vuaden,Atlético-MG,2,Fortaleza,0,5,1,16,15,3,2
943,2020,36,Estádio Governador Magalhães Pinto,0,57000,Raphael Claus,Atlético-MG,1,EC Bahia,1,6,2,10,9,1,1
944,2020,38,Estádio Governador Magalhães Pinto,0,57000,Héber Lopes,Atlético-MG,2,Palmeiras,0,5,4,22,17,5,1
945,2020,4,Estádio Adelmar da Costa Carvalho,0,35000,Jose Mendonça,Sport Recife,0,Santos FC,1,4,5,23,17,1,1
946,2020,8,Estádio Adelmar da Costa Carvalho,0,35000,Vinicius Gomes,Sport Recife,2,Goiás EC,1,9,4,18,17,1,0
947,2020,11,Estádio Adelmar da Costa Carvalho,0,35000,Leandro Pedro Vuaden,Sport Recife,1,Fluminense,0,5,8,10,9,3,3
948,2020,12,Estádio Adelmar da Costa Carvalho,0,35000,Wilton Sampaio,Sport Recife,1,Corinthians,0,3,8,11,15,1,2
949,2020,19,Estádio Adelmar da Costa Carvalho,0,35000,Jefferson Ferreira Moraes,Sport Recife,1,Athletico-PR,0,2,5,17,15,3,3
950,2020,22,Estádio Adelmar da Costa Carvalho,0,35000,Edina Alves Batista,Sport Recife,0,Atlético-GO,1,10,5,17,16,1,2
951,2020,25,Estádio Adelmar da Costa Carvalho,0,35000,Marcelo de Lima Henrique,Sport Recife,1,Coritiba FC,0,7,6,20,14,0,0
952,2020,26,Estádio Adelmar da Costa Carvalho,0,35000,Jose Mendonça,Sport Recife,1,Grêmio,1,3,7,21,9,2,2
953,2020,28,Estádio Adelmar da Costa Carvalho,0,35000,Flavio Rodrigues de Souza,Sport Recife,1,Fortaleza,0,4,8,14,12,0,1
954,2020,32,Estádio Adelmar da Costa Carvalho,0,35000,Raphael Claus,Sport Recife,2,EC Bahia,0,10,3,16,8,5,1
955,2020,36,Estádio Adelmar da Costa Carvalho,0,35000,Leandro Pedro Vuaden,Sport Recife,0,RB Bragantino,0,1,15,8,10,0,1
956,2020,2,Estádio Beira-Rio,0,56000,Marcelo de Lima Henrique,Internacional,2,Santos FC,0,9,4,28,14,2,2
957,2020,4,Estádio Beira-Rio,0,56000,Wagner Reway,Internacional,3,Atlético-GO,0,4,3,19,17,1,2
958,2020,5,Estádio Beira-Rio,0,56000,Luiz Flávio de Oliveira,Internacional,1,Atlético-MG,0,2,5,20,21,3,1
